movie_id,title,release_date,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,ratings_average,ratings_count,price,buy_probability
1536,Aiqing wansui (1994),1996-07-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,1,10.0,0.0
1189,Prefontaine (1997),1997-01-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,3,10.0,0.0
1201,Marlene Dietrich: Shadow and Light (1996) ,1996-04-02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,1,10.0,0.0
1293,Star Kid (1997),1998-01-16,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.0,3,10.0,0.0
1500,Santa with Muscles (1996),1996-11-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2,10.0,0.0
1653,Entertaining Angels: The Dorothy Day Story (1996),1996-09-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,1,10.0,0.0
1599,Someone Else's America (1995),1996-05-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,1,10.0,0.0
1642,Some Mother's Son (1996),1996-12-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,2,9.0,0.09999999999999998
814,"Great Day in Harlem, A (1994)",1994-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,1,9.0,0.09999999999999998
1467,"Saint of Fort Washington, The (1993)",1993-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,2,9.0,0.09999999999999998
1449,Pather Panchali (1955),1996-03-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.625,8,9.0,0.09999999999999998
1398,Anna (1996),1996-11-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,2,9.0,0.09999999999999998
1594,Everest (1998),1998-03-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5,2,9.0,0.09999999999999998
119,Maya Lin: A Strong Clear Vision (1994),1994-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5,4,8.0,0.19999999999999996
515,"Boot, Das (1981)",1997-04-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.203980099502488,201,8.0,0.19999999999999996
1639,Bitter Sugar (Azucar Amargo) (1996),1996-11-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.333333333333333,3,8.0,0.19999999999999996
1524,Kaspar Hauser (1993),1996-06-07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.25,8,8.0,0.19999999999999996
